"address","rank","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","postalCode","street","reviewsCount","title","location/lat","location/lng","categoryName","price","totalScore"
"PHGG+FR5, Khanqah Dogran Rd, Safdarabad, Nankana Sahib, Punjab, Pakistan","20",,,,,,,"PHGG+FR5, Khanqah Dogran Rd","1","Gourmet Bakers & Sweets","31.7261259","73.5771105","Bakery","$$","5"
"Pentasquare mall, Sector C Phase 5 D.H.A, Lahore, Punjab, Pakistan","30","90","22","17","9","5",,"Pentasquare mall","143","Loafology Bakery & Cafe - Pentasquare DHA 5","31.4620425","74.4152743","Bakery",,"4.1"
"38 Raya Fairways, Defence Raya Golf Resort Sector M DHA Phase 6, Lahore, Punjab 54792, Pakistan","31","966","92","32","23","15","54792","38 Raya Fairways","1128","Haute Dolci Lahore","31.4734948","74.4693945","Dessert restaurant",,"4.7"
"FC77+4JX, Street 14, Sector C Phase 5 D.H.A, Lahore, Punjab, Pakistan","38","2","0","1","2","0",,"FC77+4JX, Street 14","5","Forever Bakery","31.462856","74.4140938","Bakery",,"3.4"
"9 CCA, Khayaban-e-Jinnah، near Wateen Chowk, Sector C Phase 5 D.H.A, Lahore, Punjab 54000, Pakistan","40","2745","1258","178","476","124","54000","9 CCA, Khayaban-e-Jinnah، near Wateen Chowk","4781","Jalal Sons","31.4632733","74.4136758","Supermarket",,"4.3"
"FFC6+5C8, Sector K DHA Phase 6, Lahore, Punjab, Pakistan","42","0","1","1","2","0",,"FFC6+5C8","4","Pastry Shop, DHA Club Phase 6","31.4704106","74.4610633","Cafe",,"2.8"
"FC68+P4M, Sector C Phase 5 D.H.A, Lahore, Punjab, Pakistan","43","3422","1515","242","1107","314",,"FC68+P4M","6600","Civic Commercial Area","31.4618257","74.4152823","Market",,"4.1"
"43-CCA, Sector C Phase 5 D.H.A, Lahore, 54000, Pakistan","44","36","5","10","0","2","54000","43-CCA","53","Glazed","31.4626802","74.4137595","Dessert shop",,"4"
"House 3031, Multan Rd, Park View City Lahore thokar, Lahore, Punjab 54700, Pakistan","1",,,,,,"54700","House 3031, Multan Rd","12","Out of the Box","31.4572398","74.1884985","Bakery",,"5"
"Armish Rd, Block A Izmir, Lahore, Punjab, Pakistan","2",,,,,,,"Armish Rd","832","Cakes & Bakes","31.4205519","74.1839676","Bakery","$$","4.2"
"C54Q+XRH, Main Blvd, Block D Commercial Area Jubilee Town Housing Scheme, Lahore, Punjab, Pakistan","3",,,,,,,"C54Q+XRH, Main Blvd","45","Sweet Corner & Bakers","31.4074365","74.1895993","Bakery",,"4.7"
"C5HG+3Q4, Multan Rd, Chung, Lahore, Punjab, Pakistan","4",,,,,,,"C5HG+3Q4, Multan Rd","371","Malmo Bakery And Sweets","31.4276286","74.176952","Bakery",,"4.1"
"9 b1, Johar Town, Lahore, Pakistan","5",,,,,,,"9 b1","489","Crumbs The Bakers","31.4620231","74.2998111","Bakery",,"4.9"
"21, Tulip commercial, Park View City Lahore tulip, Lahore, Punjab 54000, Pakistan","6",,,,,,"54000","21, Tulip commercial","14","Urban Bakery","31.4567669","74.193324","Bakery",,"4.4"
"Rail Town Canal City, Lahore, Punjab 42000, Pakistan","7",,,,,,"42000",,"581","Cakes & Bakes","31.4371897","74.2087022","Bakery","$$","4"
"Plaza 09، near Surahi Chowk, AA-Block Aa Block Sector D Bahria Town, Lahore, Punjab 54000, Pakistan","8",,,,,,"54000","Plaza 09، near Surahi Chowk","484","bakisto - the cake company","31.3738781","74.1730034","Cake shop","$","4.9"
"Shop No.40, R, 1 Block, near Shadiwal Chowk, Johar Town, Lahore, 54782, Pakistan","9",,,,,,"54782","Shop No.40, R, 1 Block, near Shadiwal Chowk","423","Layers Bakeshop - Johar Town R1 Block","31.4567689","74.2770946","Bakery","$$","4.6"
"Block D PIA Society, Lahore, Punjab 54770, Pakistan","10",,,,,,"54770",,"328","Billy Marda","31.4432499","74.280493","Bakery",,"5"
"Plot#62-A, Sector C Commercial Area Sector C Bahria Town, Lahore, Punjab, Pakistan","11",,,,,,,"Plot#62-A","1034","Layers Bakeshop - Bahria Town Sector C","31.3703514","74.1857763","Bakery","$$","4.5"
