"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","title","location/lat","location/lng","categoryName","price","postalCode","address","reviewsCount","street","totalScore"
,,,,,"Forks n Knives Multinational - Bahria Town","31.3707458","74.1857484","Pizza restaurant",,"53720","57-A, Commercial, near Grand Masjid, C Chambelli Block Sector C Bahria Town, Lahore, 53720, Pakistan","1726","57-A, Commercial, near Grand Masjid","4.6"
,,,,,"Chick Boss & Pizza Parlour","31.1210386","74.4503442","Restaurant","$$",,"Badar Din Rd, Old City Kasur, Kasur, Punjab, Pakistan","417","Badar Din Rd","4"
,,,,,"Up Town Lahore Ellahabad Branch","30.8810004","74.065187","Pizza restaurant",,"55221","Near Bilal Marriage Hall Kasur, Road, Allahabad, 55221, Pakistan","61","Near Bilal Marriage Hall Kasur, Road","4.6"
,,,,,"Coffee Planet & Italian Pizzeria - Bahria Town","31.3617693","74.1867841","Pizza restaurant",,,"Nishtar Commercial Plaza No. 6 near clock tower Sector E bahria, town, Lahore, Pakistan","395","Nishtar Commercial Plaza No. 6 near clock tower Sector E bahria","4.3"
,,,,,"Nasheman Food","31.3190553","74.4034735","Pizza restaurant",,,"Sun Flower Sunflower Block Bahria Nasheman, Lahore, Punjab, Pakistan","2",,"4.5"
,,,,,"Pizza Lab","31.4068818","74.1847558","Pizza restaurant",,,"325d Jubilee Town Rd, Block D Block C Jubilee Town Housing Scheme, Lahore, Punjab, Pakistan","8","325d Jubilee Town Rd","4.6"
,,,,,"Pizza Junction - Bahria Town","31.3766486","74.1867567","Pizza restaurant","$$","53720","95GP+MP2, Sector C Commercial Area Sector C Bahria Town, Lahore, Punjab 53720, Pakistan","361","95GP+MP2","4.1"
,,,,,"Nawab Pizza","31.0203584","73.8519952","Pizza restaurant",,"55300","Shahrah-e-Quaid-e-Azam Rd, Pattoki, Kasur, Punjab 55300, Pakistan","75","Shahrah-e-Quaid-e-Azam Rd","4.2"
,,,,,"Pari Paker Pizza Hut","31.2477288","74.2178155","Pizza restaurant",,"55150","1 Raiwind Jinnah Market, 55150, Pakistan","476","1 Raiwind Jinnah Market","3.8"
,,,,,"Nonstop Pizza","31.4044226","74.1907597","Pizza restaurant",,,"C53R+Q86, Block F Jubilee Town, Lahore, Punjab, Pakistan","1","C53R+Q86","5"
,,,,,"Crust Crew","31.3721509","74.1878901","Pizza restaurant",,"53720","110-B commercial side, Tulip Extension Commercial Area Sector C Bahria Town, Lahore, Punjab 53720, Pakistan","3","110-B commercial side","3.7"
,,,,,"Aladdin (Pizza, Burger, Wraps)","31.4131684","74.176922","Pizza restaurant",,"53720","Shop no 5 izmer Extension Liaqat market, Canal Road, Izmir, Lahore, 53720, Pakistan","65","Shop no 5 izmer Extension Liaqat market, Canal Road","4.8"
"1","0","0","0","0","La'Pizza","31.3650604","74.1874238","Pizza restaurant",,"54600","Shop 2 Bldg, Rafi Commercial, 81 St 3, Sector E Rafi Block Bahria Town, Lahore, Punjab 54600, Pakistan","1","Shop 2 Bldg, Rafi Commercial, 81 St 3","5"
,,,,,"Broadway Pizza - GT Road","31.5909789","74.4385532","Pizza restaurant","$$","54000","Building Vide Plot No.1, Phase-5, Al Raheem Garden, Main Grand Trunk Rd, Manawan, Lahore, Punjab 54000, Pakistan","560","Building Vide Plot No.1, Phase-5, Al Raheem Garden, Main Grand Trunk Rd","4.8"
,,,,,"Pizza Cafe","31.5916844","74.3692666","Pizza restaurant",,"54000","H9R9+MPC, Bhogiwal Rd, Gujjarpura, Lahore, Punjab 54000, Pakistan","52","H9R9+MPC, Bhogiwal Rd","4.4"
,,,,,"Pizza School","31.6029201","74.3362276","Pizza restaurant",,,"95 Triple Rd, Shad Bagh, Lahore, Punjab, Pakistan","48","95 Triple Rd","4.5"
,,,,,"The Pizza Cafe","31.6009923","74.3778855","Pizza restaurant",,,"J92H+947, Mehmood Booti, Lahore, Punjab, Pakistan","1","J92H+947","5"
,,,,,"Pizza Man & Chick Master-Fast Food پیزا مین اینڈ چک ماسٹر-فاسٹ فوڈ","31.5807068","74.3729732","Pizza restaurant","$$","54000","213 GT Rd, Baghbanpura, Lahore, Punjab 54000, Pakistan","158","213 GT Rd","4.1"
,,,,,"Charlie Pizza","31.60059","74.4010504","Pizza restaurant",,"54000","Band Rd, Daroghe Wala, Lahore, Punjab 54000, Pakistan","4","Band Rd","3.5"
,,,,,"Top Pizza","31.6033824","74.4717878","Pizza restaurant",,"54000","E-6, Al-Ahmad, Garden Housing Schemē Manawan, Lahore, Punjab 54000, Pakistan","4","E-6, Al-Ahmad","4.8"
,,,,,"pizza fun","31.5937292","74.4530338","Pizza restaurant",,"54000","Sutter, Sooter Mills Rd, Lahore, 54000, Pakistan","11","Sutter, Sooter Mills Rd","4.8"
,,,,,"Pizza Queen","31.5864167","74.4004658","Pizza restaurant",,"54000","366 Grand Trunk Rd, Daroghawala, Lahore, Punjab 54000, Pakistan","676","366 Grand Trunk Rd","4.6"
,,,,,"Pizza World & Fast Food","31.5918779","74.398555","Pizza restaurant",,"54000","Orangzaib road nazd nim peer darbar, Succhan Wali Gali, Devioura Bilal Colony Daroghe Wala, Lahore, Punjab 54000, Pakistan","41","Orangzaib road nazd nim peer darbar, Succhan Wali Gali","4.1"
,,,,,"Mr Pizza & burger","31.5974311","74.3462682","Pizza restaurant",,"54000","Sher Shah Rd, Shad Bagh, Lahore, Punjab 54000, Pakistan","21","Sher Shah Rd","4.5"
,,,,,"Pizza craft","31.5701058","74.4134333","Pizza restaurant",,"54850","6/B Ibn-e-Saeed Rd, near Cakes&Bakes, Canal Bank Housing Scheme, Lahore, Punjab 54850, Pakistan","64","6/B Ibn-e-Saeed Rd, near Cakes&Bakes","4.3"
,,,,,"Hafiz Burge And Pizza","31.5740065","74.4267814","Pizza restaurant",,,"HCFG+JP3, Harbanspura, Lahore, Punjab, Pakistan","29","HCFG+JP3","4.6"
,,,,,"Pizza Mart","31.58315","74.3779374","Pizza restaurant",,"54000","H9MH+753, Baghbanpura, Lahore, Punjab 54000, Pakistan","11","H9MH+753","4.1"
