"categoryName","location/lat","location/lng","totalScore","address","postalCode","title","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price"
"General hospital","31.4846247","74.3973523","3.3","Street 123, Sector L Dha Phase 1, Lahore, Punjab, Pakistan",,"National Hospital & Medical Centre Lahore","828",,"358","99","266","67","38","Street 123",
"Private hospital","31.5349948","74.343145","3.6","G8MV+X55 Ammar Medical Complex:, Jail Rd, Gulberg V, Lahore, Punjab 54000, Pakistan","54000","Ammar Medical Complex, Lahore","166",,"76","32","34","14","10","G8MV+X55 Ammar Medical Complex:, Jail Rd",
"General hospital","31.4055032","74.2301721","3.6","8th Km Raiwind Rd, Gul Nishan Society, Lahore, Punjab, Pakistan",,"Mumtaz Bakhtawar Hospital - II","62",,"26","9","9","14","4","8th Km Raiwind Rd",
"General hospital","31.4525442","74.3194578","5","F839+2Q8, Umer St, Township Block 6 Sector A 2 Lahore, Punjab, Pakistan",,"Zainab Medical Complex","2",,"2","0","0","0","0","F839+2Q8, Umer St",
"Private hospital","31.458784","74.2875911","3.5","403، 402 Bahria University Rd, Block D2 Block D 2 Phase 1 Johar Town, Lahore, Punjab 54770, Pakistan","54770","Horizon Hospital Lahore","203",,"99","25","60","13","6","403، 402 Bahria University Rd",
"Hospital","31.0592012","74.3985755","5","395X+MCP, Bahadar Pura, Kasur, Punjab, Pakistan",,"Din Sergical Hospitel","2",,"2","0","0","0","0","395X+MCP",
"Government office","31.044171","73.747431",,"Hanjaray Khurad Mumtaz Welfare Hospital, Hajnaray Khurad, Kasur, 55300, Pakistan","55300","Family Welfare Center (FWC) Hanjaray Kalan","0",,,,,,,"Hanjaray Khurad Mumtaz Welfare Hospital",
"General hospital","31.5752544","74.379832","3.6","Shalimar Link Road, Shalimar Larechs Colony, Lahore, Punjab 54000, Pakistan","54000","Shalamar Hospital","871",,"393","159","187","101","31","Shalimar Link Road",
"Hospital","31.5620248","74.3100223","5","H866+R22, Syed Mauj Darya Rd, Mozang Chungi, Lahore, Punjab 54000, Pakistan","54000","DR. H.M. WASTI","2",,"2","0","0","0","0","H866+R22, Syed Mauj Darya Rd",
"Hospital","31.6018492","74.3206208",,"J82C+P6Q Lari adda, Badami Bagh, Lahore, Punjab, Pakistan",,"Hameed latf hospital","0",,,,,,,"J82C+P6Q Lari adda",
"Medical Center","31.5681126","74.3169658",,"H898+6QW, Anarkali Bazaar Lahore, Punjab 54000, Pakistan","54000","Rabia Clinic","0",,,,,,,"H898+6QW",
"Hospital","31.6148987","74.2696444","5","J779+XV2, Taragarh Shahdara Town, Shahdara, Lahore, Punjab, Pakistan",,"PrimeCare Medical Complex","1",,"1","0","0","0","0","J779+XV2",
"Medical Center","31.5938712","74.2970193","5","Unnamed Road, Karim Park Lahore, Punjab, Pakistan",,"Hakeem Muhammad Jameel chudri","8",,"8","0","0","0","0","Unnamed Road",
"Government hospital","31.600643","74.3140275",,"J827+6HR, Sadiq Pura Badami Bagh, Lahore, Punjab, Pakistan",,"Government Dispensary (Child vaccination center)","0",,,,,,,"J827+6HR",
"Medical Center","31.5906021","74.3038698","5","H8R3+6GX, Bilal masjid samadhi ganga ram, Kacha Ravi Rd, Karim Park, Lahore, Punjab 54000, Pakistan","54000","Matab rasheedia","5",,"5","0","0","0","0","H8R3+6GX, Bilal masjid samadhi ganga ram, Kacha Ravi Rd",
"Medical Center","31.5993219","74.3034297",,"Ravi Rd, D-6 Bakhtawar Park Timber Market, Lahore, Punjab 54000, Pakistan","54000","Fitphysio Clinic.","0",,,,,,,"Ravi Rd",
"Hospital","31.5890314","74.2111518",,"H6Q6+JF6, Lahore-Jaranwala Rd, Kot Noor Shah, Kot Nur Sha, Sheikhupura, Punjab, Pakistan",,"Colonal lal trust","0",,,,,,,"H6Q6+JF6, Lahore-Jaranwala Rd",
"Hospital","31.5948644","74.2086428",,"H6V5+WFR, Ferozewala, Sheikhupura, Punjab, Pakistan",,"UVAS Veterinary Clinic, Sattarwala","0",,,,,,,"H6V5+WFR",
"Medical Center","31.5733343","74.3217933","4.9","Amrat Dhara Building, Railway Rd, Gawalmandi, Lahore, Punjab 54000, Pakistan","54000","Ajmal Dawakhana (Pvt) Ltd","702",,"673","11","8","6","4","Amrat Dhara Building, Railway Rd",
"Medical Center","31.5726785","74.3194348","4","H8F9+3QF, Main Bazaar, Gawalmandi, Lahore, Punjab 54000, Pakistan","54000","Bashir homoeo clinicبشیر ھومیوپیتھک کلینک","1",,"0","1","0","0","0","H8F9+3QF, Main Bazaar",
"Hospital","31.5626916","74.2825254",,"H77M+32C, Khalid St, Sanda Lahore, Punjab 54000, Pakistan","54000","Punjab Cooling","0",,,,,,,"H77M+32C, Khalid St",
