"title","location/lat","location/lng","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","address","price","rank","categoryName","totalScore","postalCode","reviewsCount","street"
"Agha And Sons","31.579451","74.323746","5","3","0","0","0","Tung Bazar, Kucha Sadawaran Akbari Mandi Walled City of Lahore, Lahore, Punjab 54000, Pakistan",,"76","Supermarket","4.6","54000","8","Tung Bazar"
"حافظ جنرل اینڈ کریانہ سٹور","31.8095216","74.2535107",,,,,,"R753+RC2, Sher-e-Bangal Labour Colony منو آباد, Muridke, Sheikhupura, Punjab, Pakistan",,"7","Supermarket","5",,"1","R753+RC2"
"Faisal Super Store","30.9014606","74.0339357",,,,,,"W22M+HHM, Kot Sardar Lashkar Ali, Kasur, Punjab, Pakistan",,"10","Grocery store","4.5",,"4","W22M+HHM"
"K. Karim Buksh and Son’s Supermarket","31.5615064","74.3192475",,,,,,"65 Shahrah-e-Quaid-e-Azam, Mozang Chungi, Lahore, Punjab 54000, Pakistan",,"77","Supermarket",,"54000","0","65 Shahrah-e-Quaid-e-Azam"
"Jamshed karyana store","31.8066219","74.2471382",,,,,,"R64W+JVR, Kot Pindi Dass Rd, Peer Colony Pir Colony, Muridke, Sheikhupura, Punjab, Pakistan",,"8","Grocery store","5",,"2","R64W+JVR, Kot Pindi Dass Rd"
"Sardar Ali karnyan&Seeds Store","30.8601079","74.0770022",,,,,,"ابوبکر چوک نزد جامعہ مسجد حنفیہ رضویہ وانکھارا تحصیل چونیاں, Changa mnaga, Kasur, Punjab 55200, Pakistan",,"13","Grocery store",,"55200","0","ابوبکر چوک نزد جامعہ مسجد حنفیہ رضویہ وانکھارا تحصیل چونیاں"
"Zahid Enterprise","31.5641215","74.3188374","0","0","0","2","0","Zaitoon plaza, Shop#26 2nd Floor, Hall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan",,"78","Supermarket","3","54000","2","Zaitoon plaza, Shop#26 2nd Floor, Hall Rd"
"S.M.R","31.5765725","74.3272617",,,,,,"H8GG+JWC, Rehman Gali Number 2, Ram Gali Naulakha, Lahore, Punjab 54000, Pakistan",,"79","Industrial supermarket",,"54000","0","H8GG+JWC, Rehman Gali Number 2"
"Samran Super Store","30.9052817","74.1391671",,,,,,"W44Q+4M7, Adda Road, Talwandi, Kasur, Punjab, Pakistan",,"17","Supermarket","3.5",,"2","W44Q+4M7, Adda Road"
"Sarfraaz Kaanta","31.6094328","74.3375509","15","1","2","1","1","J85Q+Q2F, Overhead Pedestrian Bridge, Bhamma Lahore, Punjab, Pakistan",,"80","Supermarket","4.3",,"20","J85Q+Q2F, Overhead Pedestrian Bridge"
"Sajjad Shah Super Market","31.8131611","74.2483145",,,,,,"R67X+788 Sajjad shah shahshahjad1234@gmailcom, Mohalla New Daoke Daoke, Muridke, Sheikhupura, Punjab, Pakistan",,"9","Supermarket","4",,"50","R67X+788 Sajjad shah shahshahjad1234@gmailcom"
"Ashiq Jutt Kariyana Store","30.8574607","74.0361119",,,,,,"V24P+XCQ, Gehlan, Kasur, Punjab, Pakistan",,"20","Grocery store","5",,"3","V24P+XCQ"
"Model City muridke","31.8109375","74.2513594",,,,,,"R722+FGQ, Anarkali Bazaar Mohalla Faiz e Madina, Lahore, Sheikhupura, Punjab, Pakistan",,"10","Grocery store","5",,"1","R722+FGQ"
"Saab Bhai Super Store","31.801634","74.2480823",,,,,,"R62X+M64 Qila Misaita School, Hadokey, Main Bazaar, Hadokey, Muridke, 53700, Pakistan",,"11","Grocery store","5","53700","1","R62X+M64 Qila Misaita School, Hadokey, Main Bazaar"
"Gourmet Foods","31.8006002","74.2543434",,,,,,"R723+6PW, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan",,"12","Bakery","3.9",,"1091","R723+6PW"
"Malik Abdul Qadeer Shop","30.9848696","74.2710862",,,,,,"Circular Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"2","Supermarket","3.8",,"17","Circular Rd"
"Fruit & Vegetable Market","31.8272021","74.2512153",,,,,,"Muridke, Sheikhupura, Punjab, Pakistan",,"13","Grocery store","5",,"1",
"AL.MADINA GANRAL STORE","31.8003964","74.2642664",,,,,,"R727+5P2, Faisal Park Mohalla Faisalpura, Muridke, Sheikhupura, Punjab, Pakistan",,"14","Grocery store","4.1",,"9","R727+5P2"
"Dogar's Utility Store","31.0157861","74.3327015",,,,,,"288M+838, Fatahu Pur, Kasur, Punjab, Pakistan",,"4","Grocery store","5",,"1","288M+838"
"Chaman Supper Store","30.9816924","74.2695664",,,,,,"PTCL EXCHANGE, ROAD, Khudian Khas, Kasur, Punjab, Pakistan",,"3","Grocery store","5",,"1","PTCL EXCHANGE, ROAD"
"HK Super Store","30.9831372","74.3166409",,,,,,"Choke Tara Garh Rd, Jagian, Kasur, Punjab, Pakistan",,"6","Grocery store","4.6",,"7","Choke Tara Garh Rd"
"zeeshan(nona) karyana store","31.8025737","74.2571925",,,,,,"R734+2VG, Haider Hospital Bazar, Mohalla Sheikhan Muridke, Sheikhupura, Punjab, Pakistan",,"15","Grocery store","5",,"2","R734+2VG, Haider Hospital Bazar"
"Sharif Super Store Khudian Khas","30.9888559","74.2814735",,,,,,"X7QJ+GHX, Depalpur Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"4","Grocery store","4.5",,"2","X7QJ+GHX, Depalpur Rd"
"Chaudry khadim Hussain & sons","31.7990995","74.2529648",,,,,,"interchange, chungi stop, Main GT Rd, near quaide azam ring Road, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan",,"16","Grocery store","4",,"1","interchange, chungi stop, Main GT Rd, near quaide azam ring Road"
"حنظلہ جنرل سٹور","30.9865014","74.3162211",,,,,,"X8P8+JF5, Jagian, Kasur, Punjab, Pakistan",,"7","Grocery store",,,"0","X8P8+JF5"
"Sardar kariyana store","30.9728713","74.2610451",,,,,,"X7F6+496, Khudian Khas, Kasur, Punjab, Pakistan",,"6","Grocery store","5",,"3","X7F6+496"
"NBP EHSAAS RASHAN RIYAT - ALLAH WALE KARYANA STORE","30.9866796","74.2755382",,,,,,"X7PG+M6F NAZD NATIONAL BANK, Circular Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"7","Grocery store","4.8",,"5","X7PG+M6F NAZD NATIONAL BANK, Circular Rd"
"Rana super store","30.9848317","74.2786119",,,,,,"X7MH+WCQ, Khudian wearm Road Old bus stops, Khudian Khas, Kasur, Punjab, Pakistan",,"12","Discount supermarket","4.2",,"5","X7MH+WCQ, Khudian wearm Road Old bus stops"
"Madina karyana & general store","31.8016863","74.2555789",,,,,,"R724+M6G, Main Bazaar, Mohalla Ahmad Pura Mohalla Sheikhan, Muridke, Sheikhupura, Punjab, Pakistan",,"17","Grocery store","4.1",,"29","R724+M6G, Main Bazaar"
"Risen - Muridke","31.8102676","74.2537481",,,,,,"Chowk, Narowal, Main GT Rd, Rehmanpura, Muridke, Sheikhupura, Punjab 39000, Pakistan",,"18","Supermarket","4.6","39000","23","Chowk, Narowal, Main GT Rd"
"Allah Nigahbaan karyana store","31.0486212","74.302596",,,,,,"28X3+F36, Sahad, Kasur, Punjab, Pakistan",,"14","Grocery store",,,"0","28X3+F36"
"Madina General Store Mandi Dholan","30.9491744","74.2665393",,,,,,"W7X8+MJ7، Main Road, Kasur Tehsil, Dholan Hithar, Kasur, Punjab, Pakistan",,"10","Grocery store","4.7",,"18","W7X8+MJ7، Main Road, Kasur Tehsil"
"Supermarket","31.8097562","74.2538571",,,,,,"R753+WG5, Rehmanpura, Muridke, Sheikhupura, Punjab, Pakistan",,"19","Store","5",,"2","R753+WG5"
"Shafiq Commission Shop","30.9884905","74.2792035",,,,,,"Ghalla Mandi, Khudian Khas, Pakistan",,"15","Supermarket",,,"0","Ghalla Mandi"
"zaheerAta chaki","31.8406943","74.2658074",,,,,,"R7R8+78F, Street, Nangal Sahdan, Sheikhupura, Punjab, Pakistan",,"20","Grocery store","4.1",,"7","R7R8+78F, Street"
"Hidayat Ullah kryana store","30.9585181","74.3856679",,,,,,"X95P+C73, Gahi Jamun Wala, Kasur, Punjab, Pakistan",,"11","Grocery store","5",,"1","X95P+C73"
"Mehar Rizwan auto","30.9905681","74.2839279",,,,,,"X7RM+6HF, Depalpur Rd, Khudian Khas, Kasur, Punjab, Pakistan",,"17","Grocery store","5",,"1","X7RM+6HF, Depalpur Rd"
"Chuhadry karyana store","30.9445711","74.2765274",,,,,,"Saad bin ubada, near masjid, Dholan Hithar, Kasur, Punjab, Pakistan",,"20","Grocery store","5",,"1","Saad bin ubada, near masjid"
"Malik Shoukat Karyana store","30.9888728","74.2806867",,,,,,"X7QJ+G7V, Khudian Khas, Kasur, Punjab, Pakistan",,"18","Grocery store","5",,"2","X7QJ+G7V"
"Abu ul hassan","31.0490103","74.3008527",,,,,,"Sahad-Khudian Rd, Sahad, Kasur, Punjab, Pakistan",,"19","Supermarket",,,"0","Sahad-Khudian Rd"
"Umar Sharif commission agent khudian khas kasur","30.9885468","74.2791842",,,,,,"X7QH+CM7, Main St, Khudian Khas, Kasur, Punjab, Pakistan",,"20","Supermarket","5",,"1","X7QH+CM7, Main St"
"Rafiq Super Store","31.1377766","74.2338485",,,,,,"46QM+4G9, Sangat Singh Wala, Tehsil, KRK Kasur, Punjab, Pakistan",,"6","Supermarket","3.3",,"6","46QM+4G9, Sangat Singh Wala, Tehsil"
"Adil islam kryana store","31.1076535","74.1899836",,,,,,"455Q+3X9, Chhina, Kasur, Punjab, Pakistan",,"19","Grocery store",,,"0","455Q+3X9"
"Syed khaliq shah and co shop no 28 sabzi mandi ravi link road lahore","31.6011728","74.3081044","15","3","4","3","3","Sabzi mandi (vegetable market, Ravi link road, Lahore, Pakistan",,"81","Supermarket","3.8",,"28","Sabzi mandi (vegetable market, Ravi link road"
"Shahzaib Super Store","31.6002855","74.3168055",,,,,,"Siddiqu, opposite Sadaqat Park Siddiqu Pura, Sadiq Pura Pura, Lahore, Punjab 05412, Pakistan",,"82","Grocery store",,"05412","0","Siddiqu, opposite Sadaqat Park Siddiqu Pura"
"Amin Brothers Store","31.5645325","74.3839354","10","1","0","1","0","H97M+RH7, Ganj Bazar Road, Gunj Lahore, Punjab, Pakistan",,"83","Supermarket","4.8",,"12","H97M+RH7, Ganj Bazar Road"
"Fridge Market, Hall Road, Lahore","31.5671298","74.3183215","11","5","2","4","1","H889+V84, Link McLeod Rd, Anarkali Bazaar Lahore, Punjab 54000, Pakistan",,"84","Supermarket","4","54000","23","H889+V84, Link McLeod Rd"
"Hashmi Super Store","31.6058806","74.2852933","4","0","0","0","0","J74P+943, Main Bazar Farkhabad, Bara Dari Rd, Shahdara Town, Shahdara, Lahore, Punjab, Pakistan",,"85","Supermarket","5",,"4","J74P+943, Main Bazar Farkhabad, Bara Dari Rd"
"Akram plastic factory","31.6017761","74.3611285","0","1","0","1","0","J926+PF6, China Rd, China Scheme, Lahore, Punjab, Pakistan",,"86","Supermarket","3.5",,"2","J926+PF6, China Rd"
"Discount store 350","31.5670263","74.2952307","28","5","1","2","1","31 Haider Rd, Krishan Nagar Islampura, Lahore, Punjab 54000, Pakistan",,"87","Supermarket","4.6","54000","37","31 Haider Rd"
"Moiz karyana stote","31.5816176","74.3004255","5","0","0","3","0","H8J2+J5V, Bilal Ganj, Lahore, Punjab, Pakistan",,"88","Grocery store","4.3",,"8","H8J2+J5V"
