"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","location/lat","location/lng","totalScore","street","price","address","postalCode","title","reviewsCount"
,,,,,"School","31.6838597","73.7728871",,"MQMF+G5R Jheenda Nu",,"MQMF+G5R Jheenda Nu, Shekhupura, Sheikhupura, Punjab, Pakistan",,"Govt Primary School Jheenda Nu","0"
"1","0","0","1","0","School","30.9713558","73.813237","4","XRC7+G7X",,"XRC7+G7X, Daokey, Kasur, Punjab, Pakistan",,"Sharif Acadmy","2"
"1","0","0","0","0","School","31.6846241","73.7373585","5","MPMP+RWX",,"MPMP+RWX, Jaatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Madrisa Jamia Sharifia Rizwia Jatri Kohna","1"
"2","2","0","0","0","Higher secondary school","30.92953","73.8255599","4.5","WRHG+R67",,"WRHG+R67, Hussain Khanwala, Kasur, Punjab, Pakistan",,"Government Girls Higher Secondary School","4"
,,,,,"School","31.7235952","73.7341994",,,,"Nankana Sahib, Punjab, Pakistan",,"Govt. Primary School For Boys","0"
"2","0","0","0","0","School","30.9518991","73.8017592","5","XR22+QP2",,"XR22+QP2, Kharepar (chak 10), Kasur, Punjab, Pakistan",,"Govt Primary Boys School Kharepar Shareef","2"
"1","0","0","1","0","School","30.9720113","73.8334448","4","XRCM+R94، main bazar, before jamia masjid",,"XRCM+R94، main bazar, before jamia masjid, Dholan Kasur, Kasur, Punjab, Pakistan",,"The Knowledge school Ismail campus Dholan","2"
,,,,,"Primary school","30.9417232","73.7748357",,"WQRF+MWP",,"WQRF+MWP, Dhana (Chak 12), Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
"4","0","0","0","0","School","30.9656867","73.7862933","5","SEHJOWAL CHAK NO.11،",,"SEHJOWAL CHAK NO.11،, Kasur, Punjab 55361, Pakistan","55361","GOVERNMENT HIGH SCHOOL SEHJOWAL CHAK NO.11","4"
"0","1","0","0","0","School","30.9303339","73.8257498","4","kasur pattoki hussain khan wala",,"kasur pattoki hussain khan wala, Hussain Khanwala, 55300, Pakistan","55300","dar-ul-arqam school hussain khan wala chak8","1"
"1","0","0","0","0","School","30.9714155","73.8140532","5","XRC7+HJ7",,"XRC7+HJ7, Daokey, Kasur, Punjab, Pakistan",,"جامع مسجد گلزارِ مدینہ اہلسنت وجماعت","1"
"1","0","0","0","0","School","30.9698829","73.8129916","5","XR97+X55, Unnamed Road",,"XR97+X55, Unnamed Road, Daokey, Kasur, Punjab, Pakistan",,"Umer Ghani home","1"
"4","1","0","0","1","Boys' high school","30.9698055","73.8341687","4.3","XR9M+WMF, Dholan",,"XR9M+WMF, Dholan, Pattoki, Kasur, Punjab, Pakistan",,"Government High School Dholan Chak No 7","6"
,,,,,"School","31.7098782","73.6836978",,"Farooqabad, road",,"Farooqabad, road, Chowk Phularwan, Sheikhupura, Punjab, Pakistan",,"Momentous School","0"
,,,,,"School","31.710876","73.7631609",,"PQ67+973",,"PQ67+973, Malianda Dera, Sheikhupura, Punjab, Pakistan",,"Govt. Middle school dera malia","0"
"1","1","2","0","0","School","31.6985721","73.7447039","2.8","MPXV+CVG",,"MPXV+CVG, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"Dera Berianwala","4"
,,,,,"School","31.706932","73.677456",,"PM5H+2F7",,"PM5H+2F7, Chowk Phularwan, Nankana Sahib, Punjab, Pakistan",,"New Nation School System","0"
"2","1","0","0","0","School center","31.6833344","73.6696323","4.7","MMM9+8VJ, Safdarabad",,"MMM9+8VJ, Safdarabad, Mitto Tibbi, Nankana Sahib, Punjab, Pakistan",,"Thothian khurd chak no 10 rb","3"
"1","0","0","0","0","School","31.6793878","73.7467707","5","MPHW+QP2",,"MPHW+QP2, jatri kohna, Sheikhupura, Punjab, Pakistan",,"Masjid Madina Dera Sharein Wala","1"
,,,,,"School","31.6870759","73.676492",,"MMPG+RHQ",,"MMPG+RHQ, Mitto Tibbi, Sheikhupura, Punjab, Pakistan",,"Government High School","0"
,,,,,"School","31.6801175","73.737072",,"MPJP+2RW, Manawala - Farooq Abad Rd",,"MPJP+2RW, Manawala - Farooq Abad Rd, Jaatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Govt Primary School Dhoop Sari Jaatri","0"
"1","0","0","0","0","Public educational institution","31.6782415","73.7739849","5","makki chak no 525 nazd bhata riaz briks tehsil and",,"makki chak no 525 nazd bhata riaz briks tehsil and, Sheikhupura, Pakistan",,"jamai awaisia taleem ul quran syed chan peer bukhari","1"
,,,,,"Religious school","31.6782875","73.7380437",,"MPHQ+867, Unnamed Road",,"MPHQ+867, Unnamed Road, Nankana Sahib, Punjab, Pakistan",,"Madina tul Arabia","0"
,,,,,"School","31.7087202","73.6811296",,"PM5J+F98",,"PM5J+F98, Chowk Phularwan, Nankana Sahib, Punjab, Pakistan",,"Muslam book depot","0"
,,,,,"Playground","31.6891326","73.7317573",,"MPQJ+MP2, Unnamed Road",,"MPQJ+MP2, Unnamed Road, Jatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Playground for Govt. High School Boys","0"
"6","0","1","0","0","Hospital","31.6888017","73.7338234","4.4","Government Girls School Jatri",,"Government Girls School Jatri, Jatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Hospital Jatri Kohna","7"
,,,,,"School","30.9654223","73.7863952",,"XQ8P+5H6",,"XQ8P+5H6, Sehjowal, Kasur, Punjab, Pakistan",,"Government Primery School for boys","0"
,,,,,"School","30.9691392","73.7865659",,"XQ9P+MJ4",,"XQ9P+MJ4, Sehjowal, Kasur, Punjab, Pakistan",,"Iqra model school sehjowal","0"
,,,,,"Primary school","30.9734934","73.8122793",,"XRF6+9WR",,"XRF6+9WR, Daokey, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
"2","0","0","0","0","School","30.9727105","73.8132454","5","XRF7+37Q",,"XRF7+37Q, Daokey, Kasur, Punjab, Pakistan",,"AL REHMAN Computer Science Accadmy","2"
,,,,,"School","30.9718907","73.8325814",,"XRCM+Q24",,"XRCM+Q24, Dholan, Kasur, Punjab, Pakistan",,"Kamal School system","0"
,,,,,"Middle school","30.9726433","73.830775",,"XRFJ+382",,"XRFJ+382, Dholan Kasur, Kasur, Punjab, Pakistan",,"Rana Umair","0"
,,,,,"Girls' high school","30.9664996","73.7874601",,"XQ8P+HXW",,"XQ8P+HXW, Sehjowal, Kasur, Punjab, Pakistan",,"Govt Girls High School","0"
,,,,,"Primary school","30.9409279","73.7747276",,"WQRF+9VH",,"WQRF+9VH, Dhana (Chak 12), Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"School","30.9518566","73.8272154",,"Bazaar 6 Street 3 Gohar #8",,"Bazaar 6 Street 3 Gohar #8, Pattoki, Kasur, Punjab, Pakistan",,"DAR-E-ILM SCHOOL GOHAR #8","0"
,,,,,"High school","30.9712886","73.8132327",,"XRC7+G79",,"XRC7+G79, Daokey, Kasur, Punjab, Pakistan",,"Ali Malik","0"
,,,,,"School","30.930335","73.8257325",,"Hussain Khan Wala Chak 8",,"Hussain Khan Wala Chak 8, Pattoki, 55300, Pakistan","55300","Fahii Doctor","0"
,,,,,"Primary school","30.9573763","74.3991406","5","X94X+XM2",,"X94X+XM2, Ratnay Wala, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","1"
,,,,,"Primary school","30.9752977","74.4356172","5","XCGP+469",,"XCGP+469, Bhedian Usman Wala, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","3"
,,,,,"Primary school","30.9416875","74.3599375","3",,,"Tatti Usman, Kasur, Punjab, Pakistan",,"Govt Model Primary School","3"
,,,,,"Primary school","30.9773492","74.4358487","4","XCGP+H44",,"XCGP+H44, Bhedian Usman Wala, Kasur, Punjab, Pakistan",,"Govt Primary School BHEDIAN USMAN WALA","2"
,,,,,"School","30.9739024","74.3943992","2","X9FV+HQ6, chabbar Chock to chabbar village Rd",,"X9FV+HQ6, chabbar Chock to chabbar village Rd, Nai Abadi Ban Bodla, Pakistan",,"The Grammar School","4"
,,,,,"Primary school","30.9429231","74.3652962","3","W9V8+547",,"W9V8+547, Tatti Usman, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys), BAKHSHAY WALA","1"
,,,,,"School","30.9996584","74.4018706","5","XCX2+VP9, baggay",,"XCX2+VP9, baggay, Hussain Khan Wala Kasur, Kasur, Punjab, Pakistan",,"Government Primary School Baggay","4"
,,,,,"Primary school","30.9563431","74.3834724",,"X94M+G9Q",,"X94M+G9Q, Gahi Jamun Wala, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
,,,,,"Primary school","30.9568463","74.3981387",,"X94X+P7J",,"X94X+P7J, Ratnay Wala, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","0"
,,,,,"Primary school","30.9736753","74.4160942",,"XCF8+FCH",,"XCF8+FCH, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys), CHAK BODLLA","0"
,,,,,"School","30.9820926","74.3725845","5","X9JF+R2",,"X9JF+R2, Taragarh Kasur, Kasur, Punjab, Pakistan",,"Government Primary School Chabbar","1"
,,,,,"Primary school","30.9878326","74.4291762","4.8","XCQH+4MM",,"XCQH+4MM, Nure Wala, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","4"
,,,,,"School","30.9735384","74.3432098","5","Sodi Wal 1",,"Sodi Wal 1, KHUDIAN, KHAS, Kasur, Punjab 54800, Pakistan","54800","Wahid Ideal School Sodi Wal","1"
,,,,,"Primary school","30.9357821","74.3428403","5",,,"Jodh Singhwala, Kasur, Punjab 55030, Pakistan","55030","Govt Primary School (Boys)","2"
,,,,,"School","31.0101173","74.413709","4.5","2C67+2FW, Road",,"2C67+2FW, Road, Hussain Khan Wala, Kasur, Punjab, Pakistan",,"Ameen Public School","4"
,,,,,"School","30.9706208","74.3440922","3","X8CV+6JW Sodi Wal",,"X8CV+6JW Sodi Wal, Kasur, Punjab, Pakistan",,"Taqwa Islamic Public School","2"
,,,,,"School","30.9762552","74.34065","3.5","X8GR+G72",,"X8GR+G72, Sodi Wala, Kasur, Punjab, Pakistan",,"Govt. Primary School Sodi Wal","2"
,,,,,"Middle school","30.9964489","74.3514159","3.7","Punjab2922+9CW",,"Punjab2922+9CW, Taragarh Kasur, Kasur, Punjab, Pakistan",,"Govt Girls Elementary School","3"
,,,,,"Primary school","30.9979171","74.3762671","5","X9XG+5G6",,"X9XG+5G6, Kasur, Punjab, Pakistan",,"Govt Model Primary School, GOHAR HITHAR","3"
"2","0","0","0","0","School","30.9739198","74.4370022","5","Tehsil Rd",,"Tehsil Rd, Kasur, Punjab, Pakistan",,"Madrasa Taleem Ul Quran","2"
