"title","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price","categoryName","location/lat","location/lng","totalScore","postalCode","address"
"BM Hair Salon","0",,,,,,"Manzoor Chow",,"Photography studio","30.9698678","73.9712177",,"55220","Manzoor Chow, Chunian, Kasur, Punjab 55220, Pakistan"
"Ayat Beauty parlour & Training centre","0",,,,,,"Arif Market, main bazar",,"Beauty salon","30.9633019","73.9775578",,"55220","Arif Market, main bazar, Chunian, Kasur, Punjab 55220, Pakistan"
"CM pan tabco and tea shop","1","1","0","0","0","0","CM pan shop, Allahabad - Chunian Rd, near IF hair salon",,"Paan shop","30.9661194","73.9818521","5",,"CM pan shop, Allahabad - Chunian Rd, near IF hair salon, Chunian, Kasur, Punjab, Pakistan"
"Muhsin Hair Cut","0",,,,,,"8QCF+723, More Khunda Bypass",,"Hair salon","31.3206389","73.7725442",,,"8QCF+723, More Khunda Bypass, Malikabad, Mor Khunda, Nankana Sahib, Punjab, Pakistan"
"Us Traders","0",,,,,,"1",,"Hair salon","31.3238743","73.8006039",,"39100","1, More Khunda, Nankana Sahib, Punjab 39100, Pakistan"
"Hifsa Khan Salon & Studio","871",,,,,,"319 H3 Expo Center Rd",,"Beauty salon","31.4680541","74.2606714","4.8",,"319 H3 Expo Center Rd, Block H-3 Block H 3 Phase 2 Johar Town, Lahore, Punjab, Pakistan"
"Classy hair salon","1",,,,,,"F6WV+JH6 Jarjees Market, Peco Road, near Jatt Chowk",,"Hair salon","31.4965303","74.243906","5","53700","F6WV+JH6 Jarjees Market, Peco Road, near Jatt Chowk, Maraghzar Colony Thoker Niaz Baig, Lahore, Punjab 53700, Pakistan"
"Abeer Beauty Salon","14",,,,,,"Main 80 fot road, near AL hafiz town",,"Beauty salon","31.5075644","74.2500497","4.6","52000","Main 80 fot road, near AL hafiz town, Maraghzar Colony Shadiwal, Lahore, Punjab 52000, Pakistan"
"Moeez Trim Salon","2",,,,,,"G65X+3X4",,"Hair salon","31.5076875","74.2499375","5","54000","G65X+3X4, Al-Hafiz Town Shadiwal, Lahore, Punjab 54000, Pakistan"
"Hina Azfar Signature Salon","419",,,,,,"975, near Emporium Mall",,"Beauty salon","31.4683221","74.2726929","4.6","54782","975, near Emporium Mall, Phase II Block L Johar Town, Lahore, Punjab 54782, Pakistan"
"Sameera Shaheen Malik Salon","879",,,,,,"740 Block G4 Rd",,"Beauty salon","31.4698499","74.271829","4.7","54000","740 Block G4 Rd, Block G4 Block G 4 Phase 2 Johar Town, Lahore, Punjab 54000, Pakistan"
"Khawar Riaz Salon for Men and Women","967",,,,,,"2nd Floor, 90-B1 MM Alam Rd, above KFC",,"Beauty salon","31.5142054","74.3515788","4.9","54000","2nd Floor, 90-B1 MM Alam Rd, above KFC, Block B1 Block B 1 Gulberg III, Lahore, Punjab 54000, Pakistan"
"Fuzion Salon & Spa","207",,,,,,"464",,"Beauty salon","31.4703286","74.2740215","4.5","54782","464, Block G3 Johar Town, Lahore, 54782, Pakistan"
"PlayBoy Salon","290",,,,,,"33-G, Sultana Arcade, Karim Block Allama",,"Beauty salon","31.5063684","74.2793468","4.4","54570","33-G, Sultana Arcade, Karim Block Allama, Karim Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan"
"Marvel's beauty parlor and salon","3",,,,,,"H54M+GX6",,"Beauty salon","31.5562969","74.1848943","5",,"H54M+GX6, Dhameke, Sheikhupura, Punjab, Pakistan"
"Skhawat Hair Salon","2",,,,,,"F6VW+549",,"Hair salon","31.4929242","74.2454052","5",,"F6VW+549, Thoker Niaz Baig, Lahore, Punjab, Pakistan"
"GlamUp Salon","0",,,,,,"P, 169 P, Plot 169",,"Beauty salon","31.5032677","74.2466538",,"54000","P, 169 P, Plot 169, Maraghzar Colony Block H Marghzar Housing Scheme, Lahore, Punjab 54000, Pakistan"
"Hadiqa Kiani Salon Johar Town Lahore","68",,,,,,"84, G3 Block, Main Blvd",,"Beauty salon","31.476007","74.2712638","4.6","54782","84, G3 Block, Main Blvd, Johar Block G 2 Phase 2 Town, Lahore, Punjab 54782, Pakistan"
"COSMO SALON","151",,,,,,"3",,"Beauty salon","31.5173759","74.2939862","4.7","54000","3, Chenab Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan"
"Allure Beauty Salon & Training Institute","598",,,,,,"746 G/4 , Khokhar Chowk, near Emporium Mall",,"Beauty salon","31.4698143","74.2711257","4.6","54000","746 G/4 , Khokhar Chowk, near Emporium Mall, Johar Town, Lahore, 54000, Pakistan"
"Ali Bhai Hair & Beauty Salon","28",,,,,,"Plot 40 Farrukh St",,"Beauty salon","31.506563","74.2795649","4.7",,"Plot 40 Farrukh St, Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan"
"Abid Salon","1",,,,,,"F7W3+RJ6 Data store",,"Beauty salon","31.4970326","74.2540293","5",,"F7W3+RJ6 Data store, Maraghzar Colony Rana Town, Lahore, Punjab, Pakistan"
"Clipper beauty salon","190",,,,,,"Multan Road, 168 mulatn road",,"Beauty salon","31.535946","74.289944","4.5","54000","Multan Road, 168 mulatn road, stop Sodhiwal, Lahore, 54000, Pakistan"
"Afsana's Beauty Salon","24",,,,,,"F7X5+W3M, Hajvery Rd",,"Beauty salon","31.4998499","74.257668","4.3",,"F7X5+W3M, Hajvery Rd, Al-Hamd Park Block N Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Let's Glow Beauty Salon","1",,,,,,"House #110, street 111",,"Beauty salon","31.4970396","74.2553298","5",,"House #110, street 111, Maraghzar Colony Kakazai, Lahore, Punjab, Pakistan"
"SmartCut - Kasur","220",,,,,,"Shahbaz Khan Rd, opposite to Khadi Store",,"Beauty salon","31.12209","74.4595574","4.5","55050","Shahbaz Khan Rd, opposite to Khadi Store, Tariq Colony Kasur, Punjab 55050, Pakistan"
"Iqra Signature Salon","45",,,,,,"Abid town, Khara Rd",,"Beauty salon","31.1307844","74.4424389","4.9","55050","Abid town, Khara Rd, Azhar Colony Basti Khadimabad, Kasur, Punjab 55050, Pakistan"
"Paran signature | Salon & Aesthetics |","29",,,,,,"Paran Signature studio, PARAN PLAZA, near children hospital, opposite Punjab College",,"Beauty salon","31.7209776","73.9436272","4.6","39350","Paran Signature studio, PARAN PLAZA, near children hospital, opposite Punjab College, Sheikhupura, Punjab 39350, Pakistan"
"Men Salon","12",,,,,,"4FC2+RJW Kot Fateh Deen, Khem Karan Rd",,"Beauty salon","31.1221061","74.4515782","4.3","55050","4FC2+RJW Kot Fateh Deen, Khem Karan Rd, Kasur, Punjab 55050, Pakistan"
"Shama Beauty Parlour","12",,,,,,"khaliq, Street 1 Abul, colony",,"Beauty salon","31.1240636","74.4723901","4.4","55050","khaliq, Street 1 Abul, colony, Kasur, 55050, Pakistan"
"Ameera's Salon","120",,,,,,"Road, opp. Joyland",,"Beauty salon","31.7067291","73.9740329","4.5","39350","Road, opp. Joyland, Stadium Park Sheikhupura, Punjab 39350, Pakistan"
"Busy Finger's Salon,","30",,,,,,"3 College Road, near faysal bank",,"Beauty salon","31.711779","73.9759513","4.6","39350","3 College Road, near faysal bank, Civil Lines, Sheikhupura, Punjab 39350, Pakistan"
"RUBY'S STYLE SALOON","45",,,,,,,,"Beauty salon","31.7102137","73.9791576","3.7",,"D Ground Jinnah Park, Sheikhupura, Punjab, Pakistan"
"Life & Style.","31",,,,,,"PX4P+983, Bhikhi Rd",,"Beauty salon","31.7058836","73.9857877","4.4",,"PX4P+983, Bhikhi Rd, Mohalla Ahmedpura, Sheikhupura, Punjab, Pakistan"
"Sultans Salon","29",,,,,,,,"Beauty salon","31.7707121","74.0664989","4.8","39040","Malian Kalan, Sheikhupura, Punjab 39040, Pakistan"
"Beauty Mass men's Hair saloon","61",,,,,,"PX5H+VRQ, Civil Quarters Rd",,"Beauty salon","31.7097103","73.9796011","4.4",,"PX5H+VRQ, Civil Quarters Rd, Jinnah Park, Sheikhupura, Punjab, Pakistan"
"A Plus Saloon","19",,,,,,"Shop 65, Shopping Center, Stadium Rd",,"Beauty salon","31.7071764","73.975559","5","39350","Shop 65, Shopping Center, Stadium Rd, Sheikhupura, Punjab 39350, Pakistan"
"MEN ZONE HAIR SALON","13",,,,,,"PX39+VFJ, Ghang Road",,"Hair salon","31.7047047","73.968625","4.8",,"PX39+VFJ, Ghang Road, Sheikhupura, Punjab, Pakistan"
"Al Rehman Hair Saloon","187","129","24","7","24","3","G733+7RR, Maraghzar Colony",,"Hair salon","31.5024691","74.2543976","4.4",,"G733+7RR, Maraghzar Colony, commercial Block M Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"IFFI SALOON","22","15","1","3","2","1","G5Q5+FPF",,"Hair salon","31.5386875","74.1593125","4.1",,"G5Q5+FPF, Dhamke, Dhamkey, Sheikhupura, Punjab, Pakistan"
"margzar colny nazr sabzazar","1","1","0","0","0","0","G62X+XF9, Ertuhrulgazi chok",,"Beauty salon","31.5024207","74.2487451","5",,"G62X+XF9, Ertuhrulgazi chok, Maraghzar Colony Block G Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Makeover Launge","0",,,,,,"21-A",,"Beauty salon","31.5097503","74.2495803",,"54000","21-A, Lalazaar Garden Phase 2, Lahore, Punjab 54000, Pakistan"
"Sheer rabbani saloon","2","1","0","0","1","0","H538+R8M",,"Beauty salon","31.5545846","74.1657884","4",,"H538+R8M, Moran Wala, Moranwala, Sheikhupura, Punjab, Pakistan"
"Rida's Beauty Salon","12","12","0","0","0","0","Plot MC 27",,"Beauty salon","31.5025568","74.2540922","5",,"Plot MC 27, Maraghzar Colony Block M Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Ammy & Guy Hair Salon","3","3","0","0","0","0","G65X+WV4, Lalazar market, near kanzul iman school",,"Beauty salon","31.5097552","74.2496951","5",,"G65X+WV4, Lalazar market, near kanzul iman school, Maraghzar Colony Shadiwal, Lahore, Punjab, Pakistan"
"Red Rose Beauty parlour","0",,,,,,"G743+V7C",,"Beauty salon","31.5069212","74.2532581",,"54780","G743+V7C, Meharpura Lahore, Punjab 54780, Pakistan"
"Rubby Beauty Salon","1","1","0","0","0","0","G65W+WRM",,"Beauty salon","31.5098391","74.2470587","5",,"G65W+WRM, Lalazaar Garden Shadiwal, Lahore, Punjab, Pakistan"
"Dubai hair salon","2","1","0","0","1","0","Plot C 33",,"Beauty salon","31.5053398","74.2485326","4",,"Plot C 33, Maraghzar Colony Block E Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Beauty Queen Salon","2","2","0","0","0","0","Plot 166",,"Beauty salon","31.5026845","74.2550485","5",,"Plot 166, Maraghzar Colony Block M Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Hair Saloon","21","12","5","1","2","1","G754+R28",,"Hairdresser","31.5095411","74.2550644","4.2",,"G754+R28, Meharpura Lahore, Punjab, Pakistan"
"New Fresh Look Parlour &, Gym","2","1","0","0","1","0","Plot C 23",,"Beauty salon","31.5047707","74.2489304","4",,"Plot C 23, Maraghzar Colony Block E Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Muskan Hair Dresser","3","3","0","0","0","0","Jandiala - Sheikhupura Rd",,"Hair salon","31.7563243","73.9583409","5","39350","Jandiala - Sheikhupura Rd, Sheikhupura, Punjab 39350, Pakistan"
"Timeless Cuts","4","2","1","1","0","0","G65W+7RM",,"Beauty salon","31.5082026","74.2470462","3.8",,"G65W+7RM, B Block Lalazaar Garden Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
"Happy Fashion","1","1","0","0","0","0","P2Q3+RXJ",,"Beauty salon","31.7395784","74.0048837","5",,"P2Q3+RXJ, Sheikhupura, Punjab, Pakistan"
"Emaan Hydi Beauty Lounge, studio & Institute","2","2","0","0","0","0","E, Block Market, Marghzar Rd",,"Beauty salon","31.5044034","74.2489146","5",,"E, Block Market, Marghzar Rd, Maraghzar Colony Block E Marghzar Housing Scheme, Lahore, Punjab, Pakistan"
